Year,Area,Series,Value
2021-2022,,Total,0.0012
2021-2022,health_risk_prevention,disaggregated,0.0007
2021-2022,healty_campus_sport,disaggregated,0.0005
2022-2023,,Total,0.126
2022-2023,health_risk_prevention,disaggregated,0.066
2022-2023,healty_campus_sport,disaggregated,0.06
