Year,University_members,Sex,Series,Value
2021-2022,pas,,Total,94.8
2021-2022,pas,men,disaggregated,32.37
2021-2022,pas,women,disaggregated,62.43
2021-2022,pdi,,Total,33.7
2021-2022,pdi,men,disaggregated,19.83
2021-2022,pdi,women,disaggregated,13.86
2022-2023,pas,,Total,93.3
2022-2023,pas,men,disaggregated,31.1
2022-2023,pas,women,disaggregated,62.2
2022-2023,pdi,,Total,14.92
2022-2023,pdi,men,disaggregated,20.71
2022-2023,pdi,women,disaggregated,14.92
