Year,Nivel de estudios,Sexo,Value
2022-2023,Grado y Doble Grado,Hombres,54.1
2022-2023,Grado y Doble Grado,Mujeres,48.0
2022-2023,Master,Hombres,66.79
2022-2023,Master,Mujeres,63.32
2022-2023,Doctorado,Hombres,59.67
2022-2023,Doctorado,Mujeres,58.56
