Year,University members,Sex,Value
2021-2022,Administrative and service personnel,Men,0.0
2021-2022,Administrative and service personnel,Momen,0.0
2021-2022,Teaching and research personnel,Men,2.3
2021-2022,Teaching and research personnel,Momen,2.9
2022-2023,Administrative and service personnel,Men,7.43
2022-2023,Administrative and service personnel,Momen,9.52
2022-2023,Teaching and research personnel,Men,0.0
2022-2023,Teaching and research personnel,Momen,0.0
