Year,Sex,Series,Value
2021-2022,,Total,348
2021-2022,men,disaggregated,152
2021-2022,women,disaggregated,196
2022-2023,,Total,319
2022-2023,men,disaggregated,103
2022-2023,women,disaggregated,216
