Year,Sexo,Series,Value
2021-2022,,Total,122
2021-2022,Hombres,Desagregado,60
2021-2022,Mujeres,Desagregado,62
2022-2023,,Total,126
2022-2023,Hombres,Desagregado,60
2022-2023,Mujeres,Desagregado,66
