Year,Sexo,Series,Value
2021-2022,,Total,15196
2021-2022,Hombres,Desagregado,6492
2021-2022,Mujeres,Desagregado,8604
2022-2023,,Total,13791
2022-2023,Hombres,Desagregado,5957
2022-2023,Mujeres,Desagregado,7834
