Year,Value,Units
2021-2022,4006.0,Kg totales de residuos peligrosos generados×año
2021-2022,0.24,Kg de residuos peligrosos generados/(pax×año)
2022-2023,4904.0,Kg totales de residuos peligrosos generados×año
2022-2023,0.27,Kg de residuos peligrosos generados/(pax×año)
