Indicator
#10-2-3
#11-3-2
#12-3-1
#12-4-2
#12-4-3
#12-4-5
#12-7-1
#17-6-1
#2-1-2
#4-3-6
#4-3-7
#5-5-1
#6-4-2
#6-6-1
