Indicator
#10-2-4
#10-2-5
#10-2-6
#13-3-1
#13-3-2
#13-3-3
#14-2-1
#14-2-2
#15-5-2
#15-5-3
#3-4-3
#4-3-1
#4-3-2
#4-3-3
#4-5-1
#4-5-2
#4-7-2
#5-1-7
#5-2-1
#5-4-1
#8-5-1
#8-5-2
#8-8-2
#9-5-1
#9-5-6
