Year,Sexo,Series,Value
2021-2022,,Total,633
2021-2022,Hombres,Desagregado,257
2021-2022,Mujeres,Desagregado,376
2022-2023,,Total,958
2022-2023,Hombres,Desagregado,171
2022-2023,Mujeres,Desagregado,787
