Year,Sexo,Series,Value
2021-2022,,Total,348
2021-2022,Hombres,Desagregado,152
2021-2022,Mujeres,Desagregado,196
2022-2023,,Total,319
2022-2023,Hombres,Desagregado,103
2022-2023,Mujeres,Desagregado,216
