Year,Sex,Series,Value
2021-2022,,Total,10
2021-2022,Men,Disaggregated,3
2021-2022,Women,Disaggregated,7
2022-2023,,Total,19
2022-2023,Men,Disaggregated,8
2022-2023,Women,Disaggregated,11
