Year,Sex,Series,Value
2021-2022,,Total,848
2021-2022,Men,Disaggregated,228
2021-2022,Momen,Disaggregated,620
2022-2023,,Total,1011
2022-2023,Men,Disaggregated,263
2022-2023,Momen,Disaggregated,748
