Year,University_members,Sex,Value
2021-2022,pas,men,0.0
2021-2022,pas,women,0.0
2021-2022,pdi,men,2.3
2021-2022,pdi,women,2.9
2022-2023,pas,men,7.43
2022-2023,pas,women,9.52
2022-2023,pdi,men,0.0
2022-2023,pdi,women,0.0
