Year,Value,Units
2021-2022,4006.0,units.kg_hazardous_waste_total
2021-2022,0.24,units.kg_hazardous_waste_person
2022-2023,4904.0,units.kg_hazardous_waste_total
2022-2023,0.27,units.kg_hazardous_waste_person
