Year,Sex,Series,Value
2021-2022,,Total,2176
2021-2022,Men,Disaggregated,977
2021-2022,Women,Disaggregated,1211
2022-2023,,Total,3264
2022-2023,Men,Disaggregated,1699
2022-2023,Women,Disaggregated,1565
