Year,Sex,Series,Value
2021-2022,,Total,633
2021-2022,men,disaggregated,257
2021-2022,women,disaggregated,376
2022-2023,,Total,958
2022-2023,men,disaggregated,171
2022-2023,women,disaggregated,787
