Year,Sex,Series,Value
2021-2022,,Total,2176
2021-2022,men,disaggregated,977
2021-2022,women,disaggregated,1211
2022-2023,,Total,3264
2022-2023,men,disaggregated,1699
2022-2023,women,disaggregated,1565
