Year,Sex,Series,Value
2021-2022,,Total,60
2021-2022,men,disaggregated,7
2021-2022,women,disaggregated,53
2022-2023,,Total,450
2022-2023,men,disaggregated,213
2022-2023,women,disaggregated,237
