Year,Sex,Series,Value
2021-2022,,Total,15196
2021-2022,men,disaggregated,6492
2021-2022,women,disaggregated,8604
2022-2023,,Total,13791
2022-2023,men,disaggregated,6492
2022-2023,women,disaggregated,8604
