Year,Sex,Series,Value
2021-2022,,Total,122
2021-2022,men,disaggregated,60
2021-2022,women,disaggregated,62
2022-2023,,Total,126
2022-2023,men,disaggregated,60
2022-2023,women,disaggregated,66
