Year,Sex,Series,Value
2021-2022,,Total,633
2021-2022,Men,Disaggregated,257
2021-2022,Momen,Disaggregated,376
2022-2023,,Total,958
2022-2023,Men,Disaggregated,171
2022-2023,Momen,Disaggregated,787
