Year,Sex,Series,Value
2021-2022,,Total,348
2021-2022,Men,Disaggregated,152
2021-2022,Women,Disaggregated,196
2022-2023,,Total,319
2022-2023,Men,Disaggregated,103
2022-2023,Women,Disaggregated,216
