Year,Sexo,Series,Value
2021-2022,,Total,2176
2021-2022,Hombres,Desagregado,977
2021-2022,Mujeres,Desagregado,1211
2022-2023,,Total,3264
2022-2023,Hombres,Desagregado,1699
2022-2023,Mujeres,Desagregado,1565
