Year,Sexo,Series,Value
2021-2022,,Total,848
2021-2022,Hombres,Desagregado,228
2021-2022,Mujeres,Desagregado,620
2022-2023,,Total,1011
2022-2023,Hombres,Desagregado,263
2022-2023,Mujeres,Desagregado,748
