Year,Sexo,Series,Value
2021-2022,,Total,2588
2021-2022,Hombres,dissagregated,879
2021-2022,Mujeres,dissagregated,1709
2022-2023,,Total,2386
2022-2023,Hombres,dissagregated,777
2022-2023,Mujeres,dissagregated,1609
