Year,Sex,Series,Value
2021-2022,,Total,60
2021-2022,Men,Disaggregated,7
2021-2022,Momen,Disaggregated,53
2022-2023,,Total,450
2022-2023,Men,Disaggregated,213
2022-2023,Momen,Disaggregated,237
